Affiliation with Department	Record Count	% of 1,862
University Of Southern California Ming Hsieh Department Of Electrical Engineering	2	0.107
University Of Southern California Sol Price School Of Public Policy	2	0.107
University Of Southern California Suzanne Dworak Peck School Of Social Work	2	0.107
University Of St Andrews Faculty Of Science	2	0.107
University Of St Andrews School Of Biology	2	0.107
University Of Strathclyde Department Of Mathematics And Statistics	2	0.107
University Of Strathclyde Faculty Of Science	2	0.107
University Of The Chinese Academy Of Sciences School Of Economics And Management	2	0.107
University Of Toronto Department Of Economics	2	0.107
University Of Trento Department Of Sociology And Social Research	2	0.107
University Of Turin Department Of Computer Science	2	0.107
University Of Turin School Of Natural Science	2	0.107
University Of Vermont Department Of Computer Science	2	0.107
University Of Virginia College And Graduate School Of Arts And Sciences	2	0.107
University Of Virginia Department Of Psychology	2	0.107
University Of Warwick Department Of Computer Science	2	0.107
University Of Warwick School Of Life Sciences	2	0.107
University Of Waterloo Department Of Recreation And Leisure Studies	2	0.107
University Of Waterloo Faculty Of Applied Health Sciences	2	0.107
University Of Wisconsin Madison School Of Journalism And Mass Communication	2	0.107
University Of York Department Of Biology	2	0.107
University Of Zurich Faculty Of Arts And Humanities	2	0.107
Unsw Evolution And Ecology Research Centre	2	0.107
Utrecht University Department Of Human Geography And Planning	2	0.107
Utrecht University Department Of Innovation Environmental And Energy Sciences	2	0.107
Vanderbilt University Owen Graduate School Of Management	2	0.107
Victoria University Of Wellington Victoria Business School	2	0.107
Washington University In St Louis George Warren Brown School Of Social Work	2	0.107
Wuhan University Of Technology School Of Economics	2	0.107
Yale School Of Management	2	0.107
Yale School Of Medicine	2	0.107
Yale University Department Of Economics	2	0.107
Yale University Department Of Electrical Engineering	2	0.107
Yale University Department Of Social And Behavioral Sciences	2	0.107
Aarhus University Faculty Of Arts	1	0.054
Aarhus University School Of Communication And Culture	1	0.054
Addis Ababa University Ethiopian Institute Of Architecture Building Construction And City Development	1	0.054
Adolfo Ibanez University Business School	1	0.054
Alfred Lerner College Of Business And Economics	1	0.054
American University College Of Arts And Sciences	1	0.054
American University Department Of Economics	1	0.054
American University School Of International Service	1	0.054
Amirkabir University Of Technology Department Of Computer Engineering And Information Technology	1	0.054
Amsterdam Movement Sciences	1	0.054
Anu College Of Science	1	0.054
Arizona State University Department Of Physics	1	0.054
Arizona State University Global Institute Of Sustainability And Innovation	1	0.054
Arizona State University Ira A Fulton Schools Of Engineering	1	0.054
Arizona State University Julie Ann Wrigley Global Futures Laboratory	1	0.054
Arizona State University School Of Criminology And Criminal Justice	1	0.054
Arizona State University School Of Electrical Computer And Energy Engineering	1	0.054
Arizona State University School Of Geographical Sciences And Urban Planning	1	0.054
Arizona State University School Of Sustainability	1	0.054
Arizona State University Watts College Of Public Service And Community Solutions	1	0.054
Auburn University Samuel Ginn College Of Engineering	1	0.054
Australian National University College Of Arts And Social Sciences	1	0.054
Australian National University College Of Asia And The Pacific	1	0.054
Australian National University College Of Health And Medicine	1	0.054
Australian National University Coral Bell School Of Asia Pacific Affairs	1	0.054
Australian National University Department Of Political And Social Change	1	0.054
Australian National University Research School Of Biology	1	0.054
Australian National University Research School Of Social Sciences	1	0.054
Australian National University School Of Sociology	1	0.054
Autonomous University Of Madrid Higher Polytechnical School	1	0.054
Bar Ilan University Department Of Computer Science	1	0.054
Bar Ilan University Department Of Economics	1	0.054
Bar Ilan University Department Of Sociology And Anthropology	1	0.054
Bar Ilan University Faculty Of Engineering	1	0.054
Bar Ilan University Leslie And Susan Gonda Multidisciplinary Brain Research Center	1	0.054
Bar Ilan University Louis And Gabi Weisfeld School Of Social Work	1	0.054
Bar Ilan University Mina And Everard Goodman Faculty Of Life Sciences	1	0.054
Baylor University College Of Arts And Sciences	1	0.054
Baylor University Department Of Economics	1	0.054
Baylor University Department Of Sociology	1	0.054
Baylor University Hankamer School Of Business	1	0.054
Beihang University Beijing Advanced Innovation Center For Big Data And Brain Computing	1	0.054
Beihang University School Of Reliability And Systems Engineering	1	0.054
Beijing Information Science And Technology University School Of Economics And Management	1	0.054
Beijing Jiaotong University Institute Of System Science	1	0.054
Beijing Jiaotong University School Of Software Engineering	1	0.054
Beijing Jiaotong University School Of Traffic And Transportation	1	0.054
Beijing Normal University Faculty Of Geographical Science	1	0.054
Beijing Normal University Key Laboratory Of Mathematics And Complex Systems Ministry Of Education	1	0.054
Beijing Normal University School Of Journalism And Communication	1	0.054
Beijing Normal University School Of Mathematical Sciences	1	0.054
Beijing Normal University School Of Psychology	1	0.054
Beijing Normal University School Of Systems Science	1	0.054
Beijing Normal University State Key Laboratory Of Remote Sensing Science	1	0.054
Beijing University Of Chemical Technology College Of Information Science And Technology	1	0.054
Beijing University Of Posts And Telecommunications Beijing Key Laboratory Of Work Safety Intelligent Monitoring	1	0.054
Beijing University Of Posts And Telecommunications Institute Of Network Technology	1	0.054
Beijing University Of Posts And Telecommunications International School	1	0.054
Beijing University Of Posts And Telecommunications School Of Information And Communication Engineering	1	0.054
Belarusian State University Faculty Of Applied Mathematics And Computer Science	1	0.054
Ben Gurion University Of The Negev Charlotte B And Jack J Spitzer Department Of Social Work	1	0.054
Ben Gurion University Of The Negev Faculty Of Humanities And Social Sciences	1	0.054
Ben Gurion University Of The Negev Guilford Glazer Faculty Of Business And Management	1	0.054
Bernstein Center For Computational Neuroscience	1	0.054
Beth Israel Deaconess Medical Center Department Of Neurology	1	0.054
Bielefeld University School Of Public Health	1	0.054
Bocconi University Department Of Management And Technology	1	0.054
Boston Children S Hospital Division Of Emergency Medicine	1	0.054
Boston College School Of Social Work	1	0.054
Boston University Department Of Sociology	1	0.054
Bournemouth University Business School	1	0.054
Bournemouth University Department Of Marketing Strategy And Innovation	1	0.054
Bournemouth University Faculty Of Media Communication	1	0.054
Bowling Green State University College Of Arts And Sciences	1	0.054
Bowling Green State University Department Of Communication	1	0.054
Brac University Department Of Computer Science And Engineering	1	0.054
Brigham And Women S Hospital Department Of Medicine	1	0.054
Brigham Young University Marriott School Of Management	1	0.054
Brunel University London College Of Health Medicine And Life Sciences	1	0.054
Brunel University London Department Of Life Sciences	1	0.054
Brunel University London Division Of Psychology	1	0.054
Bucknell University Freeman College Of Management	1	0.054
Budapest University Of Technology And Economics Institute Of Physics	1	0.054
Bureau Of Theoretical And Applied Economics	1	0.054
Ca Foscari University Department Of Environmental Sciences Informatics And Statistics	1	0.054
California State University Los Angeles College Of Health And Human Services	1	0.054
California State University Los Angeles Department Of Public Health	1	0.054
California State University San Bernardino College Of Business And Public Administration	1	0.054
California State University San Bernardino Department Of Management	1	0.054
Canterbury Christ Church University Faculty Of Of Medicine Health And Social Care	1	0.054
Cardiff University College Of Physical Sciences And Engineering	1	0.054
Cardiff University School Of Computer Science And Informatics	1	0.054
Carnegie Mellon University Language Technologies Institute	1	0.054
Carnegie Mellon University Tepper School Of Business	1	0.054
Case Western Reserve University Jack Joseph And Morton Mandel School Of Applied Social Sciences	1	0.054
Catholic University Of The Sacred Heart Department Of Statistical Sciences	1	0.054
Center For Theoretical Study	1	0.054
Center Quantum Technology Nus	1	0.054
Central China Normal University School Of Information Management	1	0.054
Chang An University School Of Economic And Management	1	0.054
Chang Gung University College Of Engineering	1	0.054
Chang Gung University College Of Management	1	0.054
Charles University Faculty Of Social Sciences	1	0.054
Chongqing University Faculty Of Built Environment	1	0.054
Chongqing University Faculty Of Information Science	1	0.054
Chongqing University Faculty Of Social Sciences	1	0.054
Chongqing University Of Posts And Telecommunications College Of Computer Science And Technology	1	0.054
Chongqing University School Of Journalism And Communication	1	0.054
Chongqing University School Of Management Science And Real Estate	1	0.054
Chongqing University School Of Software Engineering	1	0.054
City University Of Hong Kong College Of Science	1	0.054
City University Of Hong Kong Department Of Systems Engineering And Engineering Management	1	0.054
Colorado State University College Of Agricultural Sciences	1	0.054
Colorado State University College Of Natural Sciences	1	0.054
Colorado State University College Of Veterinary Medicine And Biomedical Sciences	1	0.054
Colorado State University Department Of Biology	1	0.054
Colorado State University Department Of Microbiology Immunology Pathology	1	0.054
Colorado State University Department Of Soil And Crop Sciences	1	0.054
Columbia Journalism School	1	0.054
Columbia University Department Of Epidemiology	1	0.054
Columbia University Department Of Psychology	1	0.054
Columbia University Harriman Institute	1	0.054
Columbia University School Of International And Public Affairs	1	0.054
Complutense University Of Madrid Faculty Of Philosophy	1	0.054
Complutense University Of Madrid Faculty Of Statistics	1	0.054
Concordia University Department Of Communication Studies	1	0.054
Concordia University Faculty Of Arts And Science	1	0.054
Copenhagen University Department Of Economics	1	0.054
Cornell University Department Of Economics	1	0.054
Cornell University Sc Johnson College Of Business	1	0.054
Coventry University Faculty Of Health And Life Sciences	1	0.054
Coventry University School Of Psychological Social And Behavioural Sciences	1	0.054
Curtin University Curtin Business School	1	0.054
Curtin University Faculty Of Business And Law	1	0.054
Curtin University School Of Information Systems	1	0.054
Dalian University Of Technology Institute Of Systems Engineering	1	0.054
Dalian University Of Technology School Of Software Technology	1	0.054
Dartmouth College Department Of Economics	1	0.054
Dartmouth College Department Of Genetics	1	0.054
Delft University Of Technology Faculty Of Electrical Engineering Mathematics And Computer Science	1	0.054
Delft University Of Technology Faculty Of Technology Policy And Management	1	0.054
Delhi Technological University Department Of Information Technology	1	0.054
Drexel University College Of Arts And Sciences	1	0.054
Drexel University Dornsife School Of Public Health	1	0.054
Duke University Department Of Political Science	1	0.054
Duke University Department Of Statistical Science	1	0.054
Duke University Fuqua School Of Business	1	0.054
Durham University Department Of Anthropology	1	0.054
Durham University Faculty Of Social Sciences And Health	1	0.054
Earth Institute Columbia University	1	0.054
East Carolina University Department Of Political Science	1	0.054
East Carolina University Thomas Harriot College Of Arts And Sciences	1	0.054
East China Normal University Department Of Physics	1	0.054
East China Normal University School Of Information Science Technology	1	0.054
East China Normal University School Of Physics And Materials Science	1	0.054
East China Normal University Shanghai Key Laboratory Of Multidimensional Information Processing	1	0.054
Eastern Michigan University College Of Arts And Sciences	1	0.054
Eastern Michigan University Department Of Sociology Anthropology And Criminology	1	0.054
Eindhoven University Of Technology Department Of Industrial Engineering And Innovation Sciences	1	0.054
Eindhoven University Of Technology School Of Innovation Sciences	1	0.054
Emory University Department Of Environmental Studies	1	0.054
Emory University Department Of Epidemiology	1	0.054
Emory University Department Of Sociology	1	0.054
Emory University Woodruff Health Sciences Center	1	0.054
Eotvos Lorand University Faculty Of Science	1	0.054
Erasmus University Rotterdam Department Applied Economics	1	0.054
Erasmus University Rotterdam Erasmus School Of Economics	1	0.054
Erasmus University Rotterdam Erasmus School Of Health Policy And Management	1	0.054
Erasmus University Rotterdam Rotterdam School Of Management	1	0.054
Eth Zurich Department Of Environmental Systems Science	1	0.054
Eth Zurich Institute For Building Materials	1	0.054
Eth Zurich Institute For Transport Planning And Systems	1	0.054
European University Institute Department Of Economics	1	0.054
Faculty Of Economics Warsaw University	1	0.054
Federal University Of Ceara Department Of Physics	1	0.054
Federal University Of Ceara Faculty Of Medicine	1	0.054
Federal University Of Ceara Sciences Centre	1	0.054
Federal University Of Minas Gerais Centre For Development And Regional Planning	1	0.054
Federal University Of Minas Gerais Faculty Of Economics	1	0.054
Florida Atlantic University Charles E Schmidt College Of Science	1	0.054
Florida Atlantic University Department Of Biological Sciences	1	0.054
Florida International University College Of Arts Sciences Education	1	0.054
Florida International University Department Of Psychology	1	0.054
Florida International University School Of Integrated Science And Humanity	1	0.054
Florida State University College Of Criminology And Criminal Justice	1	0.054
Fordham University Department Of Sociology And Anthropology	1	0.054
Free University Of Berlin Department Of Education And Psychology	1	0.054
Free University Of Berlin Faculty Of Political And Social Sciences	1	0.054
Free University Of Berlin Institute Of Sociology	1	0.054
Fudan University Department Of Information Management And Information Systems	1	0.054
Fudan University Department Of Sociology	1	0.054
Fudan University School Of Management	1	0.054
Fudan University School Of Public Health	1	0.054
Fudan University School Of Social Development And Public Policy	1	0.054
Fujian Agriculture And Forestry University College Of Management Science College Of Tourism Management	1	0.054
Gangnam Severance Hospital	1	0.054
George Mason University College Of Science	1	0.054
George Mason University Department Of Computational And Data Sciences	1	0.054
Georgia Institute Of Technology College Of Engineering	1	0.054
Georgia Institute Of Technology School Of Civil And Environmental Engineering	1	0.054
Georgia State University College Of Arts And Sciences	1	0.054
Georgia State University Department Of Psychology	1	0.054
Ghent University Department Of Movement And Sports Sciences	1	0.054
Ghent University Department Of Physics And Astronomy	1	0.054
Ghent University Department Of Sociologie	1	0.054
Ghent University Faculty Of Medicine And Health Sciences	1	0.054
Ghent University Faculty Of Political And Social Sciences	1	0.054
Ghent University Faculty Of Sciences	1	0.054
Glasgow Caledonian University Department Of Nursing And Community Health	1	0.054
Glasgow Caledonian University School Of Health And Life Sciences	1	0.054
Grand Valley State University College Of Liberal Arts And Sciences	1	0.054
Grand Valley State University Department Of Psychology	1	0.054
Groningen Institute For Evolutionary Life Sciences	1	0.054
Groningen University Faculty Of Science And Engineering	1	0.054
Hangzhou Dianzi University School Of Computer Science And Technology	1	0.054
Hangzhou Dianzi University School Of Cyberspace Security	1	0.054
Harbin Institute Of Technology Department Of Management Science And Engineering	1	0.054
Harbin Institute Of Technology Graduate School At Shenzhen	1	0.054
Harbin Institute Of Technology School Of Management	1	0.054
Harbin Institute Of Technology Shenzhen School Of Computer Science And Technology	1	0.054
Harvard Medical School Department Of Pediatrics	1	0.054
Harvard University Department Of Biostatistics	1	0.054
Harvard University Department Of Epidemiology	1	0.054
Harvard University Department Of Human Evolutionary Biology	1	0.054
Harvard University Department Of Mathematics	1	0.054
Harvard University Department Of Organismic And Evolutionary Biology	1	0.054
Hasanuddin University Faculty Of Forestry	1	0.054
Hebrew University Of Jerusalem Department Of Statistics And Data Science	1	0.054
Hebrew University Of Jerusalem Faculty Of Social Sciences	1	0.054
Hinda And Arthur Marcus Institute For Aging Research	1	0.054
Hofstra University College Of Liberal Arts And Sciences	1	0.054
Hofstra University Department Of Sociology	1	0.054
Huazhong University Of Science And Technology College Of Management	1	0.054
Huazhong University Of Science And Technology School Of Artificial Intelligence And Automation	1	0.054
Humboldt University Of Berlin Institute Of Psychology	1	0.054
Icahn School Of Medicine At Mount Sinai Department Of Pharmacological Sciences	1	0.054
Imperial College London Department Of Life Sciences	1	0.054
Imperial College London Faculty Of Medicine	1	0.054
Indiana University Bloomington Department Of Psychological And Brain Sciences	1	0.054
Indiana University Bloomington School Of Education	1	0.054
Indiana University Bloomington School Of Public Health	1	0.054
Indiana University Bloomington The Media School	1	0.054
Indiana University Department Of Criminal Justice	1	0.054
Information Sciences Institute	1	0.054
Institute For Nanotechnology And Advanced Materials	1	0.054
International Centre For Comparative Criminology	1	0.054
Iowa State University College Of Liberal Arts And Sciences	1	0.054
Iowa State University Department Of Sociology And Criminal Justice	1	0.054
Islamic Azad University Science And Research Branch	1	0.054
Islamic Azad University Semnan Branch	1	0.054
Jilin University Research Center For Big Data Management	1	0.054
Jilin University School Of Management	1	0.054
Jinan University Research Center Of Emergency Management	1	0.054
Johns Hopkins Bloomberg School Of Public Health	1	0.054
Johns Hopkins University Department Of Applied Mathematics And Statistics	1	0.054
Johns Hopkins University Department Of Epidemiology	1	0.054
Johns Hopkins University Department Of International Health	1	0.054
Johns Hopkins University Department Of Mental Health	1	0.054
Johns Hopkins University Department Of Sociology	1	0.054
Johns Hopkins University Whiting School Of Engineering	1	0.054
Johns Hopkins University Zanvyl Krieger School Of Arts And Sciences	1	0.054
Julius Centrum Voor Gezondheidswetenschappen En Eerstelijns Geneeskunde	1	0.054
Kansas State University College Of Engineering	1	0.054
Kansas State University College Of Veterinary Medicine	1	0.054
Kansas State University Department Of Computer Science	1	0.054
Karolinska Institute Department Of Global Public Health	1	0.054
Karolinska Institute Department Of Learning Informatics Management And Ethics	1	0.054
Keio University Graduate School Of Business Administration	1	0.054
King S College London Department Of Health Service Population Research	1	0.054
King S College London Institute Of Psychiatry	1	0.054
King S College London School Of Mental Health Psychological Sciences	1	0.054
King Saud University College Of Science	1	0.054
King Saud University Mathematics Department	1	0.054
Konrad Lorenz Institute Of Ethology	1	0.054
Korea Advanced Institute Of Science And Technology College Of Business	1	0.054
Korea University College Of Liberal Arts	1	0.054
Korea University Department Of Sociology	1	0.054
Kth Royal Institute Of Technology Department Of Urban Planning And Environment	1	0.054
Kth Royal Institute Of Technology School Of Architecture And The Built Environment	1	0.054
Ku Leuven Faculty Of Social Sciences	1	0.054
Ku Leuven Humanities And Social Sciences Group	1	0.054
Ku Leuven Public Governance Institute	1	0.054
Kyoto University Primate Research Institute	1	0.054
Kyoto University Wildlife Research Center	1	0.054
Kyushu University Institute Of Mathematics For Industry	1	0.054
Lakehead University Faculty Of Business Administration	1	0.054
Lamont Doherty Earth Observatory	1	0.054
Language Research Center	1	0.054
Lanzhou University School Of Management	1	0.054
Lanzhou University School Of Physical Science And Technology	1	0.054
Lebanese University Faculty Of Science	1	0.054
Lee Kong Chian School Of Medicine	1	0.054
Lee Kong Chian School Of Medicine Centre For Population Health Sciences	1	0.054
Leeds Beckett University Carnegie School Of Sport	1	0.054
Leiden University Institute Advanced Computing Science	1	0.054
Leiden University Institute Of Environmental Sciences	1	0.054
Leiden University Institute Physics	1	0.054
Leiden University Lorentz Institute For Theoretical Physics	1	0.054
Linkoping University Department Of Management And Engineering	1	0.054
Linkoping University Institute Of Technology	1	0.054
Liverpool John Moores University Faculty Of Health	1	0.054
Liverpool John Moores University School Of Psychology	1	0.054
London School Of Hygiene And Tropical Medicine Department Of Clinical Research	1	0.054
London School Of Hygiene And Tropical Medicine Faculty Of Infectious And Tropical Diseases	1	0.054
London School Of Hygiene And Tropical Medicine Faculty Of Public Health And Policy	1	0.054
Louisiana State University College Of Agriculture	1	0.054
Louisiana State University School Of Renewable Natural Resources	1	0.054
Loyola University Chicago College Of Arts And Sciences	1	0.054
Loyola University Chicago Department Of Mathematics And Statistics	1	0.054
Lsu Agricultural Center	1	0.054
Maastricht University Care And Public Health Research Institute	1	0.054
Maastricht University Faculty Of Health Medicine And Life Sciences	1	0.054
Maastricht University Health Education And Promotion	1	0.054
Maastricht University Medical Centre Mumc	1	0.054
Maastricht University School Of Business And Economics	1	0.054
Makerere University College Of Agricultural And Environmental Sciences	1	0.054
Makerere University School Of Agricultural Sciences	1	0.054
Manchester Metropolitan University Department Of Sociology	1	0.054
Manchester Metropolitan University Faculty Of Arts And Humanities	1	0.054
Manchester Metropolitan University Humanities Languages Social Science	1	0.054
Mannheim Centre For European Social Research	1	0.054
Marquette University College Of Business Administration	1	0.054
Massachusetts General Hospital Department Of Cardiology	1	0.054
Massachusetts Institute Of Technology Department Of Physics	1	0.054
Massachusetts Institute Of Technology Department Of Political Science	1	0.054
Massachusetts Institute Of Technology School Of Science	1	0.054
Massey University College Of Sciences	1	0.054
Massey University School Of Natural Sciences	1	0.054
Mcgill University Department Of Anthropology	1	0.054
Mcgill University Department Of Electrical And Computer Engineering	1	0.054
Mcgill University Department Of Epidemiology Biostatistics And Occupational Health	1	0.054
Mcgill University Department Of Natural Resource Sciences	1	0.054
Mcgill University Desautels Faculty Of Management	1	0.054
Mcgill University Faculty Of Agriculture And Environment	1	0.054
Mcgill University Faculty Of Engineering	1	0.054
Mcgill University Faculty Of Medicine And Health Sciences	1	0.054
Mcgill University School Of Social Work	1	0.054
Miami University College Of Arts And Science	1	0.054
Miami University Department Of Media Journalism And Film	1	0.054
Michigan State University College Of Natural Science	1	0.054
Michigan State University Department Of Communication	1	0.054
Michigan State University Department Of Integrative Biology	1	0.054
Michigan State University Department Of Psychology	1	0.054
Michigan State University Department Of Sociology	1	0.054
Michigan Technological University College Of Sciences And Arts	1	0.054
Michigan Technological University Department Of Social Sciences	1	0.054
Middlesex University London Department Of Criminology And Sociology	1	0.054
Middlesex University London Faculty Of Business And Law	1	0.054
Middlesex University London School Of Law	1	0.054
Middlesex University Social Policy Research Centre	1	0.054
Mississippi State University College Of Business	1	0.054
Mississippi State University Department Of Management And Information Systems	1	0.054
Moe Key Laboratory For Urban Transportation Complex Systems Theory And Technology	1	0.054
Monash University Faculty Of Information Technology	1	0.054
Mrc Integrative Epidemiology Unit	1	0.054
Nagoya University School Of Informatics Graduate School Of Informatics	1	0.054
Nanchang University School Of Public Policy And Administration	1	0.054
Nanjing University Business School	1	0.054
Nanjing University Of Aeronautics And Astronautics College Of Economics And Management	1	0.054
Nanjing University Of Aeronautics And Astronautics College Of Electronic And Information Engineering	1	0.054
Nanjing University School Of Geography And Ocean Science	1	0.054
Nanjing University School Of Information Management	1	0.054
Nankai University Business School	1	0.054
Nanyang Business School	1	0.054
Nanyang Technological University College Of Humanities Arts And Social Sciences	1	0.054
Nanyang Technological University College Of Science	1	0.054
Nanyang Technological University Institute Of Catastrophe Risk Management	1	0.054
Nanyang Technological University School Of Physical And Mathematical Sciences	1	0.054
Nanyang Technological University School Of Physical And Mathematical Sciences Division Of Physics And Applied Physics	1	0.054
Nanyang Technological University School Of Social Sciences	1	0.054
National Autonomous University Of Mexico Humanities Coordination	1	0.054
National Autonomous University Of Mexico National School Of Higher Studies Merida Unit	1	0.054
National Chengchi University College Of Communication	1	0.054
National Chengchi University College Of Social Sciences	1	0.054
National Chengchi University Department Of Sociology	1	0.054
National Research University Higher School Of Economics Faculty Of Social Sciences	1	0.054
National Research University Higher School Of Economics Institute Of Education	1	0.054
National Sun Yat Sen University College Of Management	1	0.054
National Sun Yat Sen University Department Of Business Management	1	0.054
National Taipei University College Of Business	1	0.054
National Taipei University Department Of Business Administration	1	0.054
National Taiwan University College Of Medicine	1	0.054
National Taiwan University College Of Social Sciences	1	0.054
National Taiwan University Department Of Economics	1	0.054
National Taiwan University Hospital	1	0.054
National Taiwan University Hospital Department Of Emergency Medicine	1	0.054
National University Of Defense Technology College Of Computers	1	0.054
National University Of Defense Technology College Of Systems Engineering	1	0.054
National University Of Singapore Department Of Communications And New Media	1	0.054
National University Of Singapore Department Of Psychological Medicine	1	0.054
National University Of Singapore Department Of Psychology	1	0.054
National University Of Singapore Institute Of Policy Studies	1	0.054
Nc State University College Of Veterinary Medicine	1	0.054
Nc State University Department Of Population Health And Pathobiology	1	0.054
New York University Abu Dhabi Division Of Science	1	0.054
New York University Center For Neural Science	1	0.054
New York University Courant Institute Of Mathematical Sciences	1	0.054
New York University School Of Law	1	0.054
North West University Faculty Of Natural And Agricultural Sciences	1	0.054
North West University Unit For Environmental Sciences And Management	1	0.054
Northeast Normal University School Of Geographical Sciences	1	0.054
Northeastern University Bouve College Of Health Sciences	1	0.054
Northeastern University D Amore Mckim School Of Business	1	0.054
Northeastern University Department Of Health Sciences	1	0.054
Northeastern University School Of Community Health And Behavioral Sciences	1	0.054
Northwestern Polytechnical University School Of Management	1	0.054
Northwestern University Department Of Communication Studies	1	0.054
Northwestern University Department Of Engineering Sciences And Applied Mathematics	1	0.054
Northwestern University Robert R Mccormick School Of Engineering And Applied Science	1	0.054
Northwestern University School Of Communication	1	0.054
Ohio University Department Of Biological Sciences	1	0.054
Ohio University Department Of Sociology And Anthropology	1	0.054
Osaka University Graduate School Of Human Sciences School Of Human Sciences	1	0.054
Oxford Martin School	1	0.054
Pace University Lubin School Of Business	1	0.054
Paderborn University Faculty Of Business Administration And Economics	1	0.054
Parul University Faculty Of Engineering And Technology	1	0.054
Parul University Parul Institute Of Technology	1	0.054
Peking University Department Of Information Management	1	0.054
Peking University Department Of Mechanics And Engineering Science	1	0.054
Peking University Faculty Of Sciences	1	0.054
Peking University Faculty Of Social Sciences	1	0.054
Peking University Hsbc Business School	1	0.054
Peking University National School Of Development	1	0.054
Peking University School Of Mathematical Sciences	1	0.054
Peking University Shenzhen Graduate School	1	0.054
Peking University State Key Laboratory For Turbulence And Complex Systems	1	0.054
Pennsylvania Medicine	1	0.054
Pennsylvania State University University Park	1	0.054
Perelman School Of Medicine	1	0.054
Peruvian University Of Applied Sciences Faculty Of Health Sciences	1	0.054
Peruvian University Of Applied Sciences School Of Medicine	1	0.054
Philip R Lee Institute For Health Policy Studies	1	0.054
Polytechnic University Of Bari Department Of Mechanical Engineering Mathematics And Management	1	0.054
Polytechnic University Of Catalonia Department Of Physics	1	0.054
Polytechnic University Of Timisoara Department Of Computer And Information Technology	1	0.054
Polytechnic University Of Timisoara Faculty Of Automation And Computers	1	0.054
Pompeu Fabra University Department Of Economics And Business	1	0.054
Pompeu Fabra University Faculty Of Economics And Business	1	0.054
Poznan University Of Technology Faculty Of Computer Science	1	0.054
Poznan University Of Technology Institute Of Computing Science	1	0.054
Princeton University Woodrow Wilson School Of Public And International Affairs	1	0.054
Purdue University College Of Agriculture	1	0.054
Purdue University College Of Science	1	0.054
Purdue University College Of Veterinary Medicine	1	0.054
Purdue University Department Of Biological Sciences	1	0.054
Purdue University Department Of Comparative Pathobiology	1	0.054
Purdue University Department Of Forestry And Natural Resources	1	0.054
Pusan National University College Of Engineering	1	0.054
Pusan National University Department Of Naval Architecture And Ocean Engineering	1	0.054
Queen S University Belfast Faculty Of Arts Humanities And Social Sciences	1	0.054
Queen S University Belfast School Of Biological Sciences	1	0.054
Queen S University Belfast School Of Social Sciences Education And Social Work	1	0.054
Queensland University Of Technology Business School	1	0.054
Queensland University Of Technology Faculty Of Business And Law	1	0.054
Radboud University Centre For Language Studies	1	0.054
Radboud University Communication Sciences	1	0.054
Radboud University Department Of Cultural Studies	1	0.054
Radboud University Nijmegen Medical Center	1	0.054
Radboud University School Of Social Sciences	1	0.054
Radboudumc Iq Healthcare	1	0.054
Reichman University Arison School Of Business	1	0.054
Rensselaer Polytechnic Institute Department Of Physics Applied Physics And Astronomy	1	0.054
Research Institute Of The University Of Bucharest	1	0.054
Rice University Department Of Biosciences	1	0.054
Rice University Department Of Sociology	1	0.054
Rice University School Of Social Sciences	1	0.054
Rice University Wiess School Of Natural Sciences	1	0.054
Rmit University School Of Engineering	1	0.054
Rmit University Stem College	1	0.054
Rollins School Public Health	1	0.054
Rovira I Virgili University Department Of Chemical Engineering	1	0.054
Royal Holloway University Of London Department Of Economics	1	0.054
Royal Holloway University Of London School Of Law And Social Sciences	1	0.054
Royal Military College Of Canada Department Of Mathematics And Computer Science	1	0.054
Rwth Aachen Faculty Of Mathematics Computer Science And Natural Sciences	1	0.054
Rwth Aachen University Department Of Computer Science	1	0.054
Sabanci University Faculty Of Engineering And Natural Sciences	1	0.054
Saint Mary S University Department Of Biology	1	0.054
Saint Mary S University Faculty Of Science	1	0.054
Saints Cyril And Methodius University In Skopje Faculty Of Agricultural Sciences And Food	1	0.054
Sant Anna School Of Advanced Studies Institute Of Economics	1	0.054
Sant Anna School Of Advanced Studies Institute Of Economics Laboratory Of Economics And Management	1	0.054
Santa Clara University College Of Arts And Sciences	1	0.054
Santa Clara University Department Of Sociology	1	0.054
Science University Of Malaysia School Of Biological Sciences	1	0.054
Science University Of Malaysia School Of Housing Building And Planning	1	0.054
Semmelweis University Clinical Center	1	0.054
Semmelweis University Department Of Psychiatry And Psychotherapy	1	0.054
Semmelweis University Faculty Of Health And Public Administration	1	0.054
Semmelweis University Institute Of Mental Health	1	0.054
Seoul National University College Of Medicine	1	0.054
Seoul National University Department Of Sociology	1	0.054
Seoul National University Institute Of Health And Environment	1	0.054
Shahid Beheshti University Of Medical Sciences Research Institute For Dental Sciences	1	0.054
Shahid Beheshti University Of Medical Sciences School Of Dentistry	1	0.054
Shandong University School Of Computer Science And Technology	1	0.054
Shandong University School Of Journalism And Communication	1	0.054
Shandong University School Of Management	1	0.054
Shanghai Jiao Tong University Antai College Of Economics And Management	1	0.054
Shanghai Jiao Tong University School Of International And Public Affairs	1	0.054
Shanghai University Of Finance And Economics School Of Finance	1	0.054
Shanghai University School Of Economics	1	0.054
Shanghai University School Of Management	1	0.054
Sim Kee Boon Institute For Financial Economics	1	0.054
Simon Fraser University Department Of Mathematics	1	0.054
